Generation #0
Puntaje: 3 [62, 3, 9, 6, 1, 0]
Puntaje: 1 [62, 3, 9, 6, 7, 8]
Generation #10
Puntaje: 24 [48, 3, 9, 6, 1, 7]
Puntaje: 21 [48, 3, 9, 6, 1, 7]
Puntaje: 21 [19, 4, 9, 12, 1, 7]
Puntaje: 17 [48, 3, 9, 6, 1, 7]
Puntaje: 12 [62, 3, 9, 6, 1, 7]
Puntaje: 10 [13, 2, 2, 6, 1, 7]
Puntaje: 10 [76, 2, 9, 12, 1, 7]
Puntaje: 9 [19, 2, 16, 12, 1, 7]
Puntaje: 9 [48, 2, 9, 12, 1, 7]
Puntaje: 8 [62, 3, 9, 6, 1, 7]
Puntaje: 8 [62, 2, 9, 12, 1, 7]
Puntaje: 6 [48, 2, 3, 6, 1, 7]
Puntaje: 5 [62, 2, 9, 6, 0, 10]
Puntaje: 4 [48, 1, 9, 6, 1, 10]
Puntaje: 3 [13, 3, 9, 6, 1, 5]
Puntaje: 1 [62, 2, 9, 6, 8, 9]
Generation #11
Puntaje: 25 [48, 3, 9, 6, 1, 7]
Puntaje: 21 [76, 2, 9, 12, 1, 7]
Puntaje: 21 [19, 4, 9, 6, 1, 7]
Puntaje: 18 [48, 3, 9, 6, 1, 7]
Puntaje: 12 [48, 3, 9, 6, 1, 7]
Puntaje: 12 [99, 3, 9, 12, 1, 7]
Puntaje: 10 [48, 4, 2, 6, 1, 7]
Puntaje: 9 [48, 3, 9, 6, 1, 7]
Puntaje: 9 [48, 3, 9, 12, 1, 7]
Puntaje: 9 [62, 2, 9, 6, 1, 7]
Puntaje: 9 [35, 3, 20, 18, 1, 7]
Puntaje: 7 [48, 3, 9, 6, 1, 8]
Puntaje: 5 [62, 3, 9, 6, 1, 9]
Puntaje: 4 [49, 3, 9, 6, 8, 6]
Puntaje: 3 [48, 3, 9, 12, 1, 3]
Puntaje: 0 [13, 2, 4, 1, 1, 7]
Generation #12
Puntaje: 33 [19, 4, 9, 15, 1, 7]
Puntaje: 18 [99, 3, 9, 6, 1, 7]
Puntaje: 15 [49, 4, 9, 6, 1, 7]
Puntaje: 13 [48, 3, 9, 6, 1, 7]
Puntaje: 12 [48, 3, 9, 6, 1, 7]
Puntaje: 9 [76, 2, 9, 12, 1, 7]
Puntaje: 9 [19, 4, 9, 6, 1, 7]
Puntaje: 8 [99, 4, 9, 6, 4, 1]
Puntaje: 8 [48, 3, 9, 14, 1, 7]
Puntaje: 7 [76, 2, 9, 12, 1, 7]
Puntaje: 6 [48, 4, 2, 6, 1, 7]
Puntaje: 6 [48, 4, 4, 6, 1, 7]
Puntaje: 6 [76, 2, 9, 12, 1, 7]
Puntaje: 6 [48, 3, 9, 6, 0, 7]
Puntaje: 5 [48, 4, 2, 6, 1, 7]
Puntaje: 3 [48, 3, 9, 6, 0, 7]
Generation #13
Puntaje: 32 [19, 4, 9, 15, 1, 7]
Puntaje: 20 [19, 2, 9, 17, 1, 8]
Puntaje: 19 [48, 3, 9, 9, 1, 7]
Puntaje: 16 [99, 3, 9, 6, 1, 7]
Puntaje: 12 [46, 4, 9, 6, 1, 7]
Puntaje: 12 [49, 4, 9, 6, 1, 7]
Puntaje: 12 [76, 2, 9, 12, 1, 7]
Puntaje: 10 [48, 2, 9, 6, 1, 7]
Puntaje: 9 [19, 4, 9, 6, 0, 7]
Puntaje: 7 [99, 4, 9, 6, 1, 7]
Puntaje: 6 [19, 4, 9, 15, 1, 2]
Puntaje: 5 [19, 4, 9, 6, 1, 7]
Puntaje: 5 [48, 3, 9, 6, 1, 7]
Puntaje: 5 [49, 2, 2, 6, 1, 7]
Puntaje: 0 [76, 1, 9, 5, 1, 7]
Puntaje: 0 [48, 3, 9, 2, 1, 7]
Generation #14
Puntaje: 24 [19, 3, 9, 15, 1, 7]
Puntaje: 21 [76, 2, 9, 17, 1, 7]
Puntaje: 18 [19, 2, 9, 17, 1, 8]
Puntaje: 16 [48, 3, 9, 6, 1, 7]
Puntaje: 12 [73, 4, 9, 6, 1, 7]
Puntaje: 12 [99, 3, 9, 6, 1, 7]
Puntaje: 12 [49, 3, 9, 6, 1, 7]
Puntaje: 12 [76, 2, 9, 12, 1, 7]
Puntaje: 11 [19, 4, 9, 15, 1, 7]
